,Album,Album ID,Type,Artist,Total Tracks
0,Chosen,2qJw6w5XwQO0PQlSWPu7Tw,album,Måneskin,7
1,STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ,single,The Kid LAROI,1
2,SOUR,6s84u2TUpR3wdUv4NgKA2j,album,Olivia Rodrigo,11
3,Bad Habits,01NhUvviMytvV12pmJiDZH,single,Ed Sheeran,1
4,INDUSTRY BABY (feat. Jack Harlow),622NFw5Yk0OReMJ2XWcXUh,single,Lil Nas X,1
5,MONTERO (Call Me By Your Name),2Hjcfw8zHN4dJDZJGOzLd6,single,Lil Nas X,3
6,Kiss Me More (feat. SZA),1OnzqJTL9bwe4kvaLxRYxt,single,Doja Cat,1
7,Todo De Ti,3zjKITMp5FHj5aqtWWXrxH,single,Rauw Alejandro,1
8,Yonaguni,6VSOIs13DaSG2IPilNviX5,single,Bad Bunny,1
9,Teatro d'ira - Vol. I,7KF1Ain9mYYlg5M46g0i4A,album,Måneskin,8
10,Levitating (feat. DaBaby),04m06KhJUuwe1Q487puIud,single,Dua Lipa,1
11,Qué Más Pues?,53ul5SFjVUQCotbJhjCkkK,single,J Balvin,1
12,Butter / Permission to Dance,1iLUfFVZF8bltkBkONumgG,single,BTS,4
13,Justice,5dGWwsZ9iB2Xc3UKR0gif2,album,Justin Bieber,16
14,"Butter (Hotter, Sweeter, Cooler)",1HnJKmB4P6Z8RBdLMWx18w,single,BTS,5
17,Save Your Tears (Remix),2fyOpT5c9kxR8zbDh6UtXh,single,The Weeknd,1
18,AM Remix,1jTRS4KS666BesH1GUHyEV,single,Nio Garcia,1
19,Planet Her,1nAQbHeOWTfQzbOoFrvndW,album,Doja Cat,14
20,Volando (Remix),4MCZWUKxkvdMITh4KapBKX,single,Mora,1
23,Dreamland,5bfpRtBW7RNRdsm3tRyl3R,album,Glass Animals,16
24,After Hours,4yP0hdKOZPNshxUOjY0cZj,album,The Weeknd,14
26,Pepas,2A5ksnhz7YWbRLvFMjX1j1,single,Farruko,1
27,Motley Crew,4tokbQaFXRrq8keVGBD9vb,single,Post Malone,1
28,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],39qsmsNRXjVaFqTZj9af0j,single,Riton,1
29,Astronaut In The Ocean,7vus4Q8r5DS2Dl1JClxEsA,single,Masked Wolf,1
30,Leave The Door Open,7dfPqXck6BB9wpThrVYBss,single,Bruno Mars,1
31,Don't Go Yet,4gxhWdfO9qAogokjIc2bPZ,single,Camila Cabello,1
33,Pareja Del Año,202FLmfHxcvLHPiqmAjWyJ,single,Sebastian Yatra,1
34,Fine Line,7xV2TzoaVc0ycW7fwBwAml,album,Harry Styles,12
35,RAPSTAR,0SVzFcpsByITKgURaxXdsV,single,Polo G,1
37,911 (Remix),57ppCWTeAnqooyrR4DzbwR,single,Sech,1
38,EL ÚLTIMO TOUR DEL MUNDO,2d9BCZeAAhiZWPpbX9aPCW,album,Bad Bunny,16
39,Miénteme,4D9XS6o1GNMmuUWhI5Qixg,single,TINI,1
41,Poblado (Remix),1avDIEjBJ9ayO1Lj7LxNM7,single,J Balvin,1
42,BE,2qehskW9lYGWfYb0xPZkrS,album,BTS,8
43,The Business,2adSO4KU3FDjeM1PXCRDZm,single,Tiësto,1
44,Heartbreak Anthem (with David Guetta & Little Mix),6kBuGNoOGE7uiPhN82dcJ1,single,Galantis,1
45,El Dorado,270o30h7cAlEhBnbuSpFZq,album,24kGoldn,13
46,Entre Nosotros,4cEu5VC6QCq4NGYTNvwNCR,single,Tiago PZK,1
47,Fiel (Remix),1jBESH0DEFN7z8WH8B0B5c,single,Wisin,1
48,Build a Bitch,5YKqfiQdPYWJ0kZ5pttY5o,single,Bella Poarch,1
49,"Nicky Jam: Bzrp Music Sessions, Vol. 41",0uEAjbeFr70dBF41LTs1cD,single,Bizarrap,1
50,Tiroteo (Remix),2Ke07jWpOWaNVYpNMmXt7C,single,Marc Seguí,1
51,Happier Than Ever,0JGOiO34nwfUdDrD612dOp,album,Billie Eilish,16
52,Rasputin (Remixes),19TzoU9GkP6UpHGMgZaUdJ,single,Majestic,3
53,Leave Before You Love Me,66JuK41D3LpkbX3HCTGcQk,single,Marshmello,1
54,Freaks,5WjaIWthUR3AjA0UYG3jR5,single,Surf Curse,1
55,Eu Tenho a Senha,5y08Ec8KBmVFcvS5NcNuaZ,album,João Gomes,10
56,2/Catorce,23ceOvjypWsCUj9ZrW8Fno,single,Rauw Alejandro,1
57,JORDI (Deluxe),1pCA38N6MkLlthXtAOvZTU,album,Maroon 5,14
58,Run,4d0a5uamW9NWRc1KXFeErI,single,OneRepublic,1
59,Thot Shit,7gEGuvkVs79hY4tG7OYnzx,single,Megan Thee Stallion,1
60,Your Love (9PM),7F9yYqHRtIZnEGF2tANI4b,single,ATB,1
63,TAKE TIME,1zHR48K6XtWYm6bhrw4J6C,album,Giveon,8
64,Play Date - Confidence Boost,512tvliT2hhxOLj4vwyT8i,compilation,Dua Lipa,32
65,Dinero,6FfydthOJNOSCM8BeSqKh3,single,Trinidad Cardona,1
66,I Love You.,4xkM0BwLM9H2IUcbYzpcBI,album,The Neighbourhood,11
67,Sobrio,0R1Ygba9KBj95maQnUvZm5,single,Maluma,1
68,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,album,Lewis Capaldi,12
69,Over The Top (feat. Drake),4ROMS3rcR9JepxAtDRpvc5,single,Smiley,1
70,Still Sleep?,38nZLvJx8A9p4YYpTG5iFP,album,Sleepy Hallow,14
71,KG0516,5CS8E6JVACItYto4OOJoPW,album,KAROL G,16
72,Loco,0Aq33KpcbXrHkuyfMhEORI,single,Justin Quiles,1
73,Love Tonight,5KXv2MHeoLSqZ96jRuFF9H,single,Shouse,2
75,Sin Miedo (del Amor y Otros Demonios) ∞,00wSTrFxoSzA7eeS1UxHgd,album,Kali Uchis,13
76,Botella Tras Botella,3Jv8XjzlQel3avRbOzysXB,single,Gera MX,1
77,Los Legendarios 001,7g5WqPI4CdA22Cy8LxRXCf,album,Los Legendarios,19
78,Dance Monkey (Stripped Back) / Dance Monkey,0UywfDKYlyiu1b38DRrzYD,single,Tones And I,2
79,F*CK LOVE (SAVAGE),3YjfdLdpQcVI72uKhooZst,album,The Kid LAROI,22
80,Scary Hours 2,5LuoozUhs2pl3glZeAJl89,single,Drake,3
81,Inside (The Songs),1e5OlE0EY5fucq6GIU1xi3,album,Bo Burnham,20
82,Just Hits - The 20's,0W06LVpvBKHvcWIE3BK7lz,compilation,Dua Lipa,30
83,Goosebumps (Remix),3SdFuYwyWoq7kuaHdTDcyD,single,Travis Scott,1
84,Head & Heart (feat. MNEK),5glfCPECXSHzidU6exW8wO,single,Joel Corry,1
85,BED,36tML2tWjDrbLW4FgrX17U,single,Joel Corry,1
