,Song Name,Song ID,Release Date,Duration (ms),Streams,Album,Album ID,Artist,Artist ID
0,Beggin',3Wrjm47oTz2sjIgck11l5e,2017-12-08,211560,"48,633,449",Chosen,2qJw6w5XwQO0PQlSWPu7Tw,Måneskin,0lAWpj5szCSwM4rUMHYmrr
1,STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,2021-07-09,141806,"47,248,719",STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J
2,good 4 u,4ZtFanR9U6ndgddUvNcjcG,2021-05-21,178147,"40,162,559",SOUR,6s84u2TUpR3wdUv4NgKA2j,Olivia Rodrigo,1McMsnEElThX1knmY4oliG
3,Bad Habits,6PQ88X9TkUIAUIZJHW2upE,2021-06-25,231041,"37,799,456",Bad Habits,01NhUvviMytvV12pmJiDZH,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V
4,INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK,2021-07-23,212000,"33,948,454",INDUSTRY BABY (feat. Jack Harlow),622NFw5Yk0OReMJ2XWcXUh,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq
5,MONTERO (Call Me By Your Name),67BtfxlNbhBmCDR2L2l8qd,2021-03-31,137876,"30,071,134",MONTERO (Call Me By Your Name),2Hjcfw8zHN4dJDZJGOzLd6,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq
6,Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK,2021-04-09,208867,"29,356,736",Kiss Me More (feat. SZA),1OnzqJTL9bwe4kvaLxRYxt,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
7,Todo De Ti,4fSIb4hdOQ151TILNsSEaF,2021-05-20,199604,"26,951,613",Todo De Ti,3zjKITMp5FHj5aqtWWXrxH,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq
8,Yonaguni,2JPLbjOn0wPCngEot2STUS,2021-06-04,206710,"25,030,128",Yonaguni,6VSOIs13DaSG2IPilNviX5,Bad Bunny,4q3ewBCX7sLwd24euuV69X
9,I WANNA BE YOUR SLAVE,4pt5fDVTg5GhEvEtlz9dKk,2021-03-19,173347,"24,551,591",Teatro d'ira - Vol. I,7KF1Ain9mYYlg5M46g0i4A,Måneskin,0lAWpj5szCSwM4rUMHYmrr
10,Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,2020-10-01,203064,"23,518,010",Levitating (feat. DaBaby),04m06KhJUuwe1Q487puIud,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we
11,Qué Más Pues?,6hf0RpxTbOprT5nnwzkk8e,2021-05-28,217773,"22,405,111",Qué Más Pues?,53ul5SFjVUQCotbJhjCkkK,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5
12,Permission to Dance,0LThjFY2iTtNdd4wviwVV2,2021-07-09,187585,"22,062,812",Butter / Permission to Dance,1iLUfFVZF8bltkBkONumgG,BTS,3Nrfpe0tUJi4K4DXYWgMUX
13,Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,2021-03-19,198082,"20,294,457",Justice,5dGWwsZ9iB2Xc3UKR0gif2,Justin Bieber,1uNFoZAHBGtllmzznpCI3s
14,Butter,2bgTY4UwhfBYhGT4HUYStN,2021-06-04,164442,"19,985,713","Butter (Hotter, Sweeter, Cooler)",1HnJKmB4P6Z8RBdLMWx18w,BTS,3Nrfpe0tUJi4K4DXYWgMUX
15,traitor,5CZ40GBx1sQ9agT82CLQCT,2021-05-21,229227,"19,480,679",SOUR,6s84u2TUpR3wdUv4NgKA2j,Olivia Rodrigo,1McMsnEElThX1knmY4oliG
16,deja vu,6HU7h9RYOaPRFeh0R3UeAr,2021-05-21,215507,"18,571,755",SOUR,6s84u2TUpR3wdUv4NgKA2j,Olivia Rodrigo,1McMsnEElThX1knmY4oliG
17,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,2021-04-23,191014,"18,053,141",Save Your Tears (Remix),2fyOpT5c9kxR8zbDh6UtXh,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
18,AM Remix,05bfbizlM5AX6Mf1RRyMho,2021-06-24,261335,"17,617,965",AM Remix,1jTRS4KS666BesH1GUHyEV,Nio Garcia,5hdhHgpxyniooUiQVaPxQ0
19,Need To Know,3Vi5XqYrmQgOYBajMWSvCi,2021-06-25,210560,"16,908,917",Planet Her,1nAQbHeOWTfQzbOoFrvndW,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
20,Volando - Remix,0G2zPzWqVjR68iNPmx2TBe,2021-07-08,273474,"16,606,925",Volando (Remix),4MCZWUKxkvdMITh4KapBKX,Mora,0Q8NcsJwoCbZOHHW63su5S
21,Ain't Shit,5lAnYvAIkSDNXqfo7DyFUm,2021-06-25,174253,"16,126,897",Planet Her,1nAQbHeOWTfQzbOoFrvndW,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
22,drivers license,5wANPM4fQCJwkGd4rN57mH,2021-05-21,242013,"15,684,978",SOUR,6s84u2TUpR3wdUv4NgKA2j,Olivia Rodrigo,1McMsnEElThX1knmY4oliG
23,Heat Waves,3USxtqRwSYz57Ewm6wWRMp,2020-08-07,238805,"15,089,184",Dreamland,5bfpRtBW7RNRdsm3tRyl3R,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq
24,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,2020-03-20,200040,"15,011,809",After Hours,4yP0hdKOZPNshxUOjY0cZj,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
25,happier,2tGvwE8GcFKwNdAXMnlbfl,2021-05-21,175933,"14,849,078",SOUR,6s84u2TUpR3wdUv4NgKA2j,Olivia Rodrigo,1McMsnEElThX1knmY4oliG
26,Pepas,5fwSHlTEWpluwOM0Sxnh5k,2021-06-24,287120,"14,809,458",Pepas,2A5ksnhz7YWbRLvFMjX1j1,Farruko,329e4yvIujISKGKz1BZZbO
27,Motley Crew,40uMIn2zJLAQhNXghRjBed,2021-07-09,184213,"14,329,162",Motley Crew,4tokbQaFXRrq8keVGBD9vb,Post Malone,246dkjvS1zLTtiykXe5h60
28,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,2021-01-15,169153,"14,273,637",Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],39qsmsNRXjVaFqTZj9af0j,Riton,7i9j813KFoSBMldGqlh2Z1
29,Astronaut In The Ocean,3Ofmpyhv5UAQ70mENzB277,2021-01-06,132780,"14,174,752",Astronaut In The Ocean,7vus4Q8r5DS2Dl1JClxEsA,Masked Wolf,1uU7g3DNSbsu0QjSEqZtEd
30,Leave The Door Open,7MAibcTli4IisCtbHKrGMh,2021-03-05,242096,"13,963,568",Leave The Door Open,7dfPqXck6BB9wpThrVYBss,Bruno Mars,0du5cEVh5yTK9QJze8zA0C
31,Don't Go Yet,1058fW9H3fZA6QjYCdOBad,2021-07-23,164842,"13,205,250",Don't Go Yet,4gxhWdfO9qAogokjIc2bPZ,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF
32,favorite crime,5JCoSi02qi3jJeHdZXMmR8,2021-05-21,152667,"12,818,935",SOUR,6s84u2TUpR3wdUv4NgKA2j,Olivia Rodrigo,1McMsnEElThX1knmY4oliG
33,Pareja Del Año,2rCbl9naJYhaxjLsfx88uM,2021-04-16,195053,"12,572,307",Pareja Del Año,202FLmfHxcvLHPiqmAjWyJ,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW
34,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,2019-12-13,174000,"11,996,689",Fine Line,7xV2TzoaVc0ycW7fwBwAml,Harry Styles,6KImCVD70vtIoJWnq6nGn3
36,RAPSTAR,43PGPuHIlVOc04jrZVh9L6,2021-04-09,165926,"11,683,383",RAPSTAR,0SVzFcpsByITKgURaxXdsV,Polo G,6AgTAQt8XS6jRWi4sX7w49
37,You Right,0k4d5YPDr1r7FX77VdqWez,2021-06-25,186173,"11,629,418",Planet Her,1nAQbHeOWTfQzbOoFrvndW,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
38,911 - Remix,27RSJHEA99Y0Vsow7nA37A,2021-07-09,208631,"11,553,846",911 (Remix),57ppCWTeAnqooyrR4DzbwR,Sech,77ziqFxp5gaInVrF2lj4ht
39,DÁKITI,4MzXwWMhyBbmu6hOcLVD49,2020-11-27,205090,"11,524,288",EL ÚLTIMO TOUR DEL MUNDO,2d9BCZeAAhiZWPpbX9aPCW,Bad Bunny,4q3ewBCX7sLwd24euuV69X
40,Miénteme,0cOa970mzTWAxKtltpkpLc,2021-04-29,165275,"11,477,024",Miénteme,4D9XS6o1GNMmuUWhI5Qixg,TINI,7vXDAI8JwjW531ouMGbfcp
41,"jealousy, jealousy",0MMyJUC3WNnFS1lit5pTjk,2021-05-21,173160,"11,287,301",SOUR,6s84u2TUpR3wdUv4NgKA2j,Olivia Rodrigo,1McMsnEElThX1knmY4oliG
42,Poblado - Remix,1WedZeiezCmCEOzLwhx0hV,2021-06-18,393280,"11,283,626",Poblado (Remix),1avDIEjBJ9ayO1Lj7LxNM7,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5
43,Dynamite,4saklk6nie3yiGePpBwUoc,2020-11-20,199054,"11,196,819",BE,2qehskW9lYGWfYb0xPZkrS,BTS,3Nrfpe0tUJi4K4DXYWgMUX
44,The Business,6f3Slt0GbA2bPZlz0aIFXN,2020-09-16,164000,"10,739,770",The Business,2adSO4KU3FDjeM1PXCRDZm,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z
45,Heartbreak Anthem (with David Guetta & Little Mix),5K6Ssv4Z3zRvxt0P6EKUAP,2021-05-20,183726,"10,315,460",Heartbreak Anthem (with David Guetta & Little Mix),6kBuGNoOGE7uiPhN82dcJ1,Galantis,4sTQVOfp9vEMCemLw50sbu
46,Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m,2021-03-26,140533,"10,222,056",El Dorado,270o30h7cAlEhBnbuSpFZq,24kGoldn,6fWVd57NKTalqvmjRd2t8Z
47,Entre Nosotros,6w8yBI2vthyN9UnwO4UBWb,2021-07-08,192353,"10,215,216",Entre Nosotros,4cEu5VC6QCq4NGYTNvwNCR,Tiago PZK,5Y3MV9DZ0d87NnVm56qSY1
48,Fiel - Remix,43qcs9NpJhDxtG91zxFkj7,2021-06-15,349547,"10,032,746",Fiel (Remix),1jBESH0DEFN7z8WH8B0B5c,Wisin,3E6xrwgnVfYCrCs0ePERDz
49,Build a Bitch,7BoobGhD4x5K96Me0hqC8Q,2021-05-14,122773,"9,841,998",Build a Bitch,5YKqfiQdPYWJ0kZ5pttY5o,Bella Poarch,26cMerAxjx9GedFt0lMDjm
50,"Nicky Jam: Bzrp Music Sessions, Vol. 41",03LfOYi0icz4souspZVVhq,2021-06-30,158087,"9,799,701","Nicky Jam: Bzrp Music Sessions, Vol. 41",0uEAjbeFr70dBF41LTs1cD,Bizarrap,716NhGYqD1jl2wI1Qkgq36
51,Tiroteo - Remix,4OwhwvKESFtuu06dTgct7i,2021-04-01,321556,"9,781,153",Tiroteo (Remix),2Ke07jWpOWaNVYpNMmXt7C,Marc Seguí,5FQ8tBUtIamA2hRtatrYUF
52,NDA,38GBNKZUhfBkk3oNlWzRYd,2021-07-30,195777,"9,635,619",Happier Than Ever,0JGOiO34nwfUdDrD612dOp,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH
53,Rasputin,6FO4K7MrMoYkc5BlpX5LNV,2021-06-25,345543,"9,600,707",Rasputin (Remixes),19TzoU9GkP6UpHGMgZaUdJ,Majestic,6QMABvTzixnxzsLYyhqRxI
54,Leave Before You Love Me (with Jonas Brothers),4qu63nuBpdn0qHUHuObEj1,2021-05-21,154983,"9,428,494",Leave Before You Love Me,66JuK41D3LpkbX3HCTGcQk,Marshmello,64KEffDW9EtZ1y2vBYgq8T
55,Freaks,7EkWXAI1wn8Ii883ecd9xr,2021-05-15,147062,"9,319,465",Freaks,5WjaIWthUR3AjA0UYG3jR5,Surf Curse,1gl0S9pS0Zw0qfa14rDD3D
56,Meu Pedaço de Pecado,2kJRlOyrxsy7Ot3c5TZ8Q6,2021-06-01,157176,"9,206,366",Eu Tenho a Senha,5y08Ec8KBmVFcvS5NcNuaZ,João Gomes,4JNo6Q5KdcRf1vtSX9mB0S
57,2/Catorce,71R8HJxQk5qMiRstrlXN9t,2021-02-14,212032,"9,086,979",2/Catorce,23ceOvjypWsCUj9ZrW8Fno,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq
58,Beautiful Mistakes (feat. Megan Thee Stallion),5zFglKYiknIxks8geR8rcL,2021-06-11,227395,"9,048,966",JORDI (Deluxe),1pCA38N6MkLlthXtAOvZTU,Maroon 5,04gDigrS5kc9YWfZHwBETP
59,Run,2UbVnbE5FH6008mAm6Mmgw,2021-05-05,169011,"9,017,356",Run,4d0a5uamW9NWRc1KXFeErI,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ
60,Thot Shit,5zNW5ARjYhJQJz1AChP33n,2021-06-11,184635,"8,977,336",Thot Shit,7gEGuvkVs79hY4tG7OYnzx,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK
61,Your Love (9PM),5YaskwnGDZFDRipaqzbwQx,2021-01-15,150053,"8,935,418",Your Love (9PM),7F9yYqHRtIZnEGF2tANI4b,ATB,7jZM5w05mGhw6wTB1okhD9
62,brutal,6SRsiMl7w1USE4mFqrOhHC,2021-05-21,143747,"8,881,356",SOUR,6s84u2TUpR3wdUv4NgKA2j,Olivia Rodrigo,1McMsnEElThX1knmY4oliG
63,Save Your Tears,37BZB0z9T8Xu7U3e65qxFy,2021-04-23,191014,"8,843,110",Save Your Tears (Remix),2fyOpT5c9kxR8zbDh6UtXh,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
64,Heartbreak Anniversary,3FAJ6O0NOHQV8Mc5Ri6ENp,2020-03-27,198371,"8,832,945",TAKE TIME,1zHR48K6XtWYm6bhrw4J6C,Giveon,4fxd5Ee7UefO4CUXgwJ7IP
65,Don't Start Now,7njGslFmqBmOSSOpTyZCs9,2021-08-13,183290,"8,821,971",Play Date - Confidence Boost,512tvliT2hhxOLj4vwyT8i,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we
66,Dinero,3ggtU1ZOKO8ZNiqPNyXGcm,2018-02-02,160880,"8,564,775",Dinero,6FfydthOJNOSCM8BeSqKh3,Trinidad Cardona,4wP1kxjUsc9IR4Iy2smL7o
67,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,2013-04-19,240400,"8,564,017",I Love You.,4xkM0BwLM9H2IUcbYzpcBI,The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh
68,Sobrio,4HzqWEdAbzcVFDv0pvxV4w,2021-07-08,201181,"8,514,480",Sobrio,0R1Ygba9KBj95maQnUvZm5,Maluma,1r4hJ1h58CWwUQe3MxPuau
69,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,2019-05-17,182161,"8,490,162",Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB
70,Over The Top (feat. Drake),3yaYgjEFkRw3PVjW9mV1TO,2021-07-23,153406,"8,269,753",Over The Top (feat. Drake),4ROMS3rcR9JepxAtDRpvc5,Smiley,6jeg7JBX9J9097esK752iR
71,2055,4XvcHTUfIlWfyJTRG0aqlo,2021-06-02,123987,"8,133,401",Still Sleep?,38nZLvJx8A9p4YYpTG5iFP,Sleepy Hallow,6EPlBSH2RSiettczlz7ihV
72,EL MAKINON,2FSGUA0gFgGeQdprjtGM2M,2021-03-26,209160,"8,102,107",KG0516,5CS8E6JVACItYto4OOJoPW,KAROL G,790FomKkXshlbRYZFtlgla
73,Loco,6PDlkWmrq2ZKiUuFt2aQsH,2021-05-13,231604,"8,093,413",Loco,0Aq33KpcbXrHkuyfMhEORI,Justin Quiles,14zUHaJZo1mnYtn6IBRaRP
74,Love Tonight - Edit,6OufwUcCqo81guU2jAlDVP,2017-12-14,241970,"8,006,336",Love Tonight,5KXv2MHeoLSqZ96jRuFF9H,Shouse,2TcGJdSOiOvITBzhvfX8XB
75,ZITTI E BUONI,776AftMmFFAWUIEAb3lHhw,2021-03-19,194787,"7,975,148",Teatro d'ira - Vol. I,7KF1Ain9mYYlg5M46g0i4A,Måneskin,0lAWpj5szCSwM4rUMHYmrr
76,telepatía,6tDDoYIxWvMLTdKpjFkc1B,2020-12-04,160191,"7,912,399",Sin Miedo (del Amor y Otros Demonios) ∞,00wSTrFxoSzA7eeS1UxHgd,Kali Uchis,1U1el3k54VvEUzo3ybLPlM
77,Botella Tras Botella,2MnLkFqY9Rpg9s3Zv6ZJdK,2021-04-23,197333,"7,735,223",Botella Tras Botella,3Jv8XjzlQel3avRbOzysXB,Gera MX,2hejA1Dkf8v8R0koF44FvW
78,Fiel,7Bk0uXKk1uPT0XuQbpFzvs,2021-02-04,261667,"7,717,211",Los Legendarios 001,7g5WqPI4CdA22Cy8LxRXCf,Los Legendarios,0n6sKrG0xKAf8xmdqeNGke
79,Dance Monkey,2XU0oxnq2qxCpomAAuJY8K,2019-10-17,209438,"7,687,058",Dance Monkey (Stripped Back) / Dance Monkey,0UywfDKYlyiu1b38DRrzYD,Tones And I,2NjfBq1NflQcKSeiDooVjY
80,WITHOUT YOU,27OeeYzk6klgBh83TSvGMA,2020-11-06,161385,"7,642,130",F*CK LOVE (SAVAGE),3YjfdLdpQcVI72uKhooZst,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J
81,Wants and Needs (feat. Lil Baby),65OVbaJR5O1RmwOQx0875b,2021-03-05,192956,"7,637,626",Scary Hours 2,5LuoozUhs2pl3glZeAJl89,Drake,3TVXtAsR1Inumwj472S9r4
82,Bezos I,0Kdj7nwaYQmvhxnqZaIQuW,2021-06-10,58149,"7,516,291",Inside (The Songs),1e5OlE0EY5fucq6GIU1xi3,Bo Burnham,2Waw2sSbqvAwK8NwACNjVo
83,Love Again,2sN1pMv6d2t5GlvN6IBMlK,2021-08-13,258004,"7,465,445",Just Hits - The 20's,0W06LVpvBKHvcWIE3BK7lz,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we
